Chapter,Family,Name,Amount,Ingredient,Notes
,,,1 oz,coconut cream,
,,,1 cup,crushed ice,
,,,1,blender,blend
,,,1,strawberries,garnish
,,,1,hurricane glass,glass
,,Banana Colada,1.5 oz,light rum,
,,,2 oz,pineapple juice,
,,,0.5,banana,
,,,1 oz,half & half cream,
,,,1 oz,coconut cream,
,,,1 cup,crushed ice,
,,,1,blender,blend
,,,1,banana slice,garnish
,,,1,hurricane glass,glass
,,Peach Colada,1.5 oz,light rum,
,,,2 oz,pineapple juice,
,,,0.25,peach,
,,,1 oz,half & half cream,
,,,1 oz,coconut cream,
,,,1 cup,crushed ice,
,,,1,blender,blend
,,,1,peach slice,garnish
,,,1,hurricane glass,glass
,,Mocha Colada,1 oz,light rum,
,,,0.5 oz,Kahlua,
,,,2 oz,pineapple juice,
